headword	id	sort_order	re1	re2	n_cum_1	n_seq_1	n_ic_cum_1	n_ic_seq_1	n_cum_2	n_seq_2	n_ic_cum_2	n_ic_seq_2	n_manual	n_manual_cmt	n_final	main_form	related_headword	dewk_main_form_on_variant	link_de	link_en
Alarmstufe Rot	25	25	Alarmstufe Rot		8	8	9	9							8				https://de.wiktionary.org/wiki/Alarmstufe_Rot	
alle Brücken hinter sich abbrechen	26	26	alle Brücken hinter SICHB + \bab(\b|b|z|g) + _BRECHEN		1	1 -> 1 -> 1	1	1 -> 1 -> 1							1	alle Brücken hinter sich abbrechen			https://de.wiktionary.org/wiki/alle_Br%C3%BCcken_hinter_sich_abbrechen	https://en.wiktionary.org/wiki/alle_Br%C3%BCcken_hinter_sich_abbrechen
alle Hebel in Bewegung setzen	27	27	alle Hebel in Bewegung + SETZEN		2	2 -> 2	2	2 -> 2							2				https://de.wiktionary.org/wiki/alle_Hebel_in_Bewegung_setzen	https://en.wiktionary.org/wiki/alle_Hebel_in_Bewegung_setzen
alle heiligen Zeiten	28	28	alle heiligen Zeiten		0	0	0	0							0	alle heiligen Zeiten			https://de.wiktionary.org/wiki/alle_heiligen_Zeiten	
alle heiligen Zeiten einmal	29	29	alle heiligen Zeiten + einmal		0	0 -> 0	0	0 -> 0							0	alle heiligen Zeiten		alle heiligen Zeiten	https://de.wiktionary.org/wiki/alle_heiligen_Zeiten_einmal	
alle Hände voll zu tun haben	30	30	alle Hände + voll zu tun	Hände + voll zu tun	11	12 -> 11	11	12 -> 11	11	1693 -> 11	11	1693 -> 11			11	alle Hände voll zu tun haben			https://de.wiktionary.org/wiki/alle_H%C3%A4nde_voll_zu_tun_haben	
alle Jubeljahre	31	31	alle Jubeljahre		0	0	0	0							0				https://de.wiktionary.org/wiki/alle_Jubeljahre	https://en.wiktionary.org/wiki/alle_Jubeljahre
alle naselang	32	32	alle naselang		0	0	0	0							0	alle naslang		alle naslang	https://de.wiktionary.org/wiki/alle_naselang	
alle naslang	33	33	alle naslang		0	0	0	0							0	alle naslang			https://de.wiktionary.org/wiki/alle_naslang	
alle Register ziehen	34	34	alle Register + ZIEHEN		12	20 -> 12	12	20 -> 12							12				https://de.wiktionary.org/wiki/alle_Register_ziehen	https://en.wiktionary.org/wiki/alle_Register_ziehen
alle Trümpfe in den Händen haben	35	35	alle Trümpfe in den Händen + HABEN	Trümpfe in den Händen + HABEN	0	0 -> 0	0	0 -> 0	0	0 -> 0	0	0 -> 0			0	alle Trümpfe in der Hand halten		alle Trümpfe in der Hand halten	https://de.wiktionary.org/wiki/alle_Tr%C3%BCmpfe_in_den_H%C3%A4nden_haben	
alle Trümpfe in den Händen halten	36	36	alle Trümpfe in den Händen + HALTEN	Trümpfe in den Händen + HALTEN	0	0 -> 0	0	0 -> 0	0	0 -> 0	0	0 -> 0			0	alle Trümpfe in der Hand halten		alle Trümpfe in der Hand halten	https://de.wiktionary.org/wiki/alle_Tr%C3%BCmpfe_in_den_H%C3%A4nden_halten	
alle Trümpfe in der Hand haben	37	37	alle Trümpfe in der Hand + HABEN	Trümpfe in der Hand + HABEN	0	0 -> 0	0	0 -> 0	1	1 -> 1	1	1 -> 1			0	alle Trümpfe in der Hand halten		alle Trümpfe in der Hand halten	https://de.wiktionary.org/wiki/alle_Tr%C3%BCmpfe_in_der_Hand_haben	
alle Trümpfe in der Hand halten	38	38	alle Trümpfe in der Hand + HALTEN	Trümpfe in der Hand + HALTEN	0	0 -> 0	0	0 -> 0	1	1 -> 1	1	1 -> 1			0	alle Trümpfe in der Hand halten			https://de.wiktionary.org/wiki/alle_Tr%C3%BCmpfe_in_der_Hand_halten	https://en.wiktionary.org/wiki/alle_Tr%C3%BCmpfe_in_der_Hand_halten
alle Trümpfe in Händen haben	39	39	alle Trümpfe in Händen + HABEN	Trümpfe in Händen + HABEN	0	0 -> 0	0	0 -> 0	0	0 -> 0	0	0 -> 0			0	alle Trümpfe in der Hand halten		alle Trümpfe in der Hand halten	https://de.wiktionary.org/wiki/alle_Tr%C3%BCmpfe_in_H%C3%A4nden_haben	
alle Trümpfe in Händen halten	40	40	alle Trümpfe in Händen + HALTEN	Trümpfe in Händen + HALTEN	0	0 -> 0	0	0 -> 0	0	0 -> 0	0	0 -> 0			0	alle Trümpfe in der Hand halten		alle Trümpfe in der Hand halten	https://de.wiktionary.org/wiki/alle_Tr%C3%BCmpfe_in_H%C3%A4nden_halten	
alle viere von sich strecken	41	41	alle viere + von SICHD + streck		1	1 -> 1 -> 1	1	1 -> 1 -> 1							1				https://de.wiktionary.org/wiki/alle_viere_von_sich_strecken	
allein auf weiter Flur	42	42	allein auf weiter Flur		3	3	3	3							3				https://de.wiktionary.org/wiki/allein_auf_weiter_Flur	
allen Ernstes	43	43	allen Ernstes		8	8	8	8							8				https://de.wiktionary.org/wiki/allen_Ernstes	
aller Ehren wert sein	44	44	aller Ehren wert + SEIN		1	1 -> 1	1	1 -> 1							1				https://de.wiktionary.org/wiki/aller_Ehren_wert_sein	
allererste Sahne sein	45	45	allereste Sahne + SEIN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/allererste_Sahne_sein	
alles auf eine Karte setzen	46	46	alles auf eine Karte + SETZEN		9	9 -> 9	9	9 -> 9							9				https://de.wiktionary.org/wiki/alles_auf_eine_Karte_setzen	https://en.wiktionary.org/wiki/alles_auf_eine_Karte_setzen
alles beim Alten lassen	47	47	alles beim Alten + LASSEN		0	14 -> 0	1	17 -> 1							0				https://de.wiktionary.org/wiki/alles_beim_Alten_lassen	
alles durch die rosarote Brille sehen	48	48	alle(s)? + durch die rosarote Brille + SEHEN		0	53150 -> 0 -> 0	0	53162 -> 0 -> 0							0	etwas durch die rosarote Brille sehen			https://de.wiktionary.org/wiki/alles_durch_die_rosarote_Brille_sehen	
alles fit im Schritt	49	49	alles fit im Schritt		0	0	0	0							0				https://de.wiktionary.org/wiki/alles_fit_im_Schritt	
alles gut	50	50	alles gut + MANUAL_REVIEW		35	35 -> 35	37	37 -> 37							35				https://de.wiktionary.org/wiki/alles_gut	
alles hat ein Ende, nur die Wurst hat zwei	51	51	alles hat ein Ende + Wurst		1	1 -> 1	1	1 -> 1							1				https://de.wiktionary.org/wiki/alles_hat_ein_Ende%2C_nur_die_Wurst_hat_zwei	
alles im grünen Bereich sein	52	52	im grünen Bereich		2	2	2	2							2				https://de.wiktionary.org/wiki/alles_im_gr%C3%BCnen_Bereich_sein	https://en.wiktionary.org/wiki/alles_im_gr%C3%BCnen_Bereich_sein
alles in Butter	53	53	alles in Butter		1	1	1	1							1				https://de.wiktionary.org/wiki/alles_in_Butter	https://en.wiktionary.org/wiki/alles_in_Butter
alles in einen Topf werfen	54	54	in einen Topf + WERFEN	alle(s)? + in einen Topf + WERFEN	9	14 -> 9	9	14 -> 9	0	53150 -> 2 -> 0	0	53162 -> 2 -> 0			9		alles in einen Topf werfen		https://de.wiktionary.org/wiki/alles_in_einen_Topf_werfen	
alles in schwarzen Farben malen	55	55	alles in schwarzen Farben + MALEN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/alles_in_schwarzen_Farben_malen	
alles paletti	56	56	alles paletti		0	0	1	1							0				https://de.wiktionary.org/wiki/alles_paletti	
alles über einen Kamm scheren	57	57	über einen Kamm + scher	alle(s) + über einen Kamm + scher	2	3 -> 2	2	3 -> 2	0	5176 -> 0 -> 0	0	5184 -> 0 -> 0			2	alles über einen Kamm scheren	alles in einen Topf werfen		https://de.wiktionary.org/wiki/alles_%C3%BCber_einen_Kamm_scheren	
alles, was Beine hat	58	58	alles, was Beine hat		0	0	0	0							0				https://de.wiktionary.org/wiki/alles%2C_was_Beine_hat	
allez hopp	59	59	allez hopp		0	0	1	1							0				https://de.wiktionary.org/wiki/allez_hopp	
als ob	60	60	als ob		273	273	280	280							273				https://de.wiktionary.org/wiki/als_ob	
als Tiger springen und als Bettvorleger landen	61	61	als Tiger + als Bettvorleger		0	4 -> 0	0	4 -> 0							0				https://de.wiktionary.org/wiki/als_Tiger_springen_und_als_Bettvorleger_landen	
alt aussehen	62	62	alt + \baus(\b|s|zusehen|gesehen) + _SEHEN + MANUAL_REVIEW	alt + \baus(\b|s|z|g) + _SEHEN + MANUAL_REVIEW	12	6442 -> 568 -> 12 -> 12	14	6453 -> 611 -> 14 -> 14	14	6442 -> 653 -> 14 -> 14	16	6453 -> 713 -> 16 -> 16			12	alt aussehen			https://de.wiktionary.org/wiki/alt_aussehen	
alte Zöpfe abschneiden	63	63	alte Zöpfe + \bab(\b|s|z|g) + _SCHNEIDEN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	alte Zöpfe abschneiden			https://de.wiktionary.org/wiki/alte_Z%C3%B6pfe_abschneiden	
Alter vor Schönheit	64	64	Alter vor Schönheit		0	0	0	0							0				https://de.wiktionary.org/wiki/Alter_vor_Sch%C3%B6nheit	
alter Wein in neuen Schläuchen	65	65	alter Wein + neuen Schläuchen		1	3 -> 1	1	3 -> 1							1				https://de.wiktionary.org/wiki/alter_Wein_in_neuen_Schl%C3%A4uchen	
am Abend wird der Faule fleißig	66	66	am Abend + der Faule + fleißig + WERDEN		0	1264 -> 0 -> 0 -> 0	0	1264 -> 0 -> 0 -> 0							0				https://de.wiktionary.org/wiki/am_Abend_wird_der_Faule_flei%C3%9Fig	
am Arsch	67	67	am Arsch		6	6	6	6							6				https://de.wiktionary.org/wiki/am_Arsch	
am Arsch der Welt	68	68	am Arsch der Welt		0	0	0	0							0				https://de.wiktionary.org/wiki/am_Arsch_der_Welt	
am Ball bleiben	69	69	am Ball + BLEIBEN		1	30 -> 1	2	30 -> 2							1				https://de.wiktionary.org/wiki/am_Ball_bleiben	
am Boden sein	70	70	am Boden + SEIN		252	982 -> 252	253	982 -> 253					3	0/50*252 found, so assume 0.5 matches; this does not include 'am Boden zerstört'	3	am Boden zerstört sein			https://de.wiktionary.org/wiki/am_Boden_sein	
am Boden zerstört sein	71	71	am Boden zerstört + SEIN		28	45 -> 28	28	45 -> 28							28	am Boden zerstört sein			https://de.wiktionary.org/wiki/am_Boden_zerst%C3%B6rt_sein	https://en.wiktionary.org/wiki/am_Boden_zerst%C3%B6rt_sein
am dransten sein	72	72	am dransten		0	0	0	0							0				https://de.wiktionary.org/wiki/am_dransten_sein	
am Drücker sein	73	73	am Drücker + SEIN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/am_Dr%C3%BCcker_sein	
am Ende des Tages	74	74	am Ende des Tages + MANUAL_REVIEW		33	33 -> 33	33	33 -> 33					12	12/33; we excluded obvious literal meanings (battle/sporting competition descriptions, etc.), but ambiguous matches were included	12				https://de.wiktionary.org/wiki/am_Ende_des_Tages	
am Hungertuch nagen	75	75	am Hungertuch + NAGEN		1	1 -> 1	1	1 -> 1							1				https://de.wiktionary.org/wiki/am_Hungertuch_nagen	https://en.wiktionary.org/wiki/am_Hungertuch_nagen
am langen Arm verhungern lassen	76	76	am langen Arm + verhungern + LASSEN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0				https://de.wiktionary.org/wiki/am_langen_Arm_verhungern_lassen	
am längeren Hebel sitzen	77	77	am längeren Heben + SITZEN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/am_l%C3%A4ngeren_Hebel_sitzen	
am Rad drehen	78	78	am Rad + dreh		1	10 -> 1	1	10 -> 1							1				https://de.wiktionary.org/wiki/am_Rad_drehen	https://en.wiktionary.org/wiki/am_Rad_drehen
am Sankt-Nimmerleins-Tag	79	79	am Sankt-Nimmerleins-Tag		0	0	0	0							0	auf den Sankt-Nimmerleins-Tag			https://de.wiktionary.org/wiki/am_Sankt-Nimmerleins-Tag	
an allen Ecken und Enden	80	80	an allen Ecken und Enden		6	6	6	6							6		an allen Ecken und Enden		https://de.wiktionary.org/wiki/an_allen_Ecken_und_Enden	
an allen Ecken und Kanten	81	81	an allen Ecken und Kanten		1	1	1	1							1		an allen Ecken und Enden		https://de.wiktionary.org/wiki/an_allen_Ecken_und_Kanten	
an der Matratze horchen	82	82	an der Matratze + horch		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/an_der_Matratze_horchen	
an der Nadel hängen	83	83	an der Nädel + HÄNGENHING		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/an_der_Nadel_h%C3%A4ngen	
an der Scholle hängen	84	84	an der Scholle + HÄNGENHING		0	0 -> 0	0	0 -> 0							0		an der Scholle kleben		https://de.wiktionary.org/wiki/an_der_Scholle_h%C3%A4ngen	
an der Scholle kleben	85	85	an der Scholle + kleb		0	0 -> 0	0	0 -> 0							0		an der Scholle kleben		https://de.wiktionary.org/wiki/an_der_Scholle_kleben	
an der Tagesordnung sein	86	86	an der Tagesordnung + MANUAL_REVIEW		56	56 -> 56	56	56 -> 56						we observed that most/all matches are idiomatic and will use the `n_cum_1` counts without correction	56				https://de.wiktionary.org/wiki/an_der_Tagesordnung_sein	https://en.wiktionary.org/wiki/an_der_Tagesordnung_sein
an die Decke gehen	87	87	an die Decke + GEHEN		2	16 -> 2	2	16 -> 2							2				https://de.wiktionary.org/wiki/an_die_Decke_gehen	
an die Hand geben	88	88	an die Hand + GEBEN		26	42 -> 26	26	42 -> 26							26				https://de.wiktionary.org/wiki/an_die_Hand_geben	
an einem seidenen Faden hängen	89	89	([Aa]m einem|[Aa]m) seidenen Faden  + HÄNGENHING	an einem seidenen Faden + HÄNGENHING	1	5 -> 1	1	5 -> 1	0	0 -> 0	0	0 -> 0			1	an einem seidenen Faden hängen			https://de.wiktionary.org/wiki/an_einem_seidenen_Faden_h%C3%A4ngen	https://en.wiktionary.org/wiki/an_einem_seidenen_Faden_h%C3%A4ngen
an einem Strang ziehen	90	90	an einem Strang + ZIEHEN	am gleichen Strang + ZIEHEN	1	1 -> 1	1	1 -> 1	1	1 -> 1	1	1 -> 1			1				https://de.wiktionary.org/wiki/an_einem_Strang_ziehen	https://en.wiktionary.org/wiki/an_einem_Strang_ziehen
an etwas keinen Kopf und keinen Arsch finden	91	91	an + keinen Kopf und keinen Arsch + FINDEN		0	777398 -> 0 -> 0	0	777930 -> 0 -> 0							0				https://de.wiktionary.org/wiki/an_etwas_keinen_Kopf_und_keinen_Arsch_finden	
an jemandes Händen klebt Blut	92	92	Händen + klebt + Blut		0	1425 -> 0 -> 0	0	1425 -> 0 -> 0							0				https://de.wiktionary.org/wiki/an_jemandes_H%C3%A4nden_klebt_Blut	
an jemandes Stuhl sägen	93	93	(an (seinem|ihrem|meinem|unsererm)|am) Stuhl + säg		0	1 -> 0	0	1 -> 0							0				https://de.wiktionary.org/wiki/an_jemandes_Stuhl_s%C3%A4gen	
an sich halten	94	94	an SICHB + HALTEN		24	1512 -> 24	32	1513 -> 32							24				https://de.wiktionary.org/wiki/an_sich_halten	
anbieten wie sauer Bier	95	95	wie sauer Bier		0	0	0	0							0	anbieten wie sauer Bier			https://de.wiktionary.org/wiki/anbieten_wie_sauer_Bier	
anbieten wie Sauerbier	96	96	wie Sauerbier + \ban(\b|b|z|g) + _BIETEN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	anbieten wie sauer Bier		anbieten wie sauer Bier	https://de.wiktionary.org/wiki/anbieten_wie_Sauerbier	
angedeihen lassen	97	97	angedeihen + LASSEN		26	26 -> 26	26	26 -> 26							26				https://de.wiktionary.org/wiki/angedeihen_lassen	
angst und bange sein	98	98	angst und bange + SEIN		2	2 -> 2	3	3 -> 3							2				https://de.wiktionary.org/wiki/angst_und_bange_sein	
anno dazumal	99	99	anno dazumal		4	4	4	4							4				https://de.wiktionary.org/wiki/anno_dazumal	
anno Tobak	100	100	anno Tobak		0	0	0	0							0				https://de.wiktionary.org/wiki/anno_Tobak	
ans Bett gefesselt sein	101	101	ans Bett gefesselt + SEIN		12	21 -> 12	13	21 -> 13							12				https://de.wiktionary.org/wiki/ans_Bett_gefesselt_sein	
Anstalten machen	102	102	Anstalten + MACHEN		23	328 -> 23	23	328 -> 23							23		Anstalten machen		https://de.wiktionary.org/wiki/Anstalten_machen	
Anstalten treffen	103	103	Anstalten + TREFFEN		7	328 -> 7	7	328 -> 7							7		Anstalten machen		https://de.wiktionary.org/wiki/Anstalten_treffen	
anything goes	104	104	anything goes		4	4	18	18							4				https://de.wiktionary.org/wiki/anything_goes	
arbeiten wie ein Pferd	105	105	wie ein Pferd + arbeite		0	3 -> 0	0	3 -> 0							0				https://de.wiktionary.org/wiki/arbeiten_wie_ein_Pferd	
Arm und Reich	106	106	Arm und Reich		31	31	36	36							31				https://de.wiktionary.org/wiki/Arm_und_Reich	
arm wie eine Kirchenmaus sein	107	107	arm wie eine Kirchenmaus		2	2	2	2							2				https://de.wiktionary.org/wiki/arm_wie_eine_Kirchenmaus_sein	
Arsch der Welt	108	108	Arsch der Welt		4	4	4	4							4				https://de.wiktionary.org/wiki/Arsch_der_Welt	
Asbach uralt	109	109	Asbach uralt		0	0	2	2							0				https://de.wiktionary.org/wiki/Asbach_uralt	
Asche aufs Haupt streuen	110	110	Asche aufs Haupt + streu		1	1 -> 1	1	1 -> 1							1	Asche aufs Haupt streuen			https://de.wiktionary.org/wiki/Asche_aufs_Haupt_streuen	
Atem schöpfen	111	111	Atem + schöpf		0	155 -> 0	0	157 -> 0							0				https://de.wiktionary.org/wiki/Atem_sch%C3%B6pfen	
auch nur mit Wasser kochen	112	112	nur + mit Wasser + koch		0	118474 -> 43 -> 0	0	118487 -> 43 -> 0							0				https://de.wiktionary.org/wiki/auch_nur_mit_Wasser_kochen	
auf Abbruch heiraten	113	113	auf Abbruch + heirate		0	32 -> 0	0	32 -> 0							0				https://de.wiktionary.org/wiki/auf_Abbruch_heiraten	
auf Achse sein	114	114	auf Achse + SEIN		8	16 -> 8	8	16 -> 8							8				https://de.wiktionary.org/wiki/auf_Achse_sein	
auf allen Hochzeiten tanzen	115	115	auf allen Hochzeiten + tanz		0	0 -> 0	0	0 -> 0							0	auf zwei Hochzeiten tanzen		auf zwei Hochzeiten tanzen	https://de.wiktionary.org/wiki/auf_allen_Hochzeiten_tanzen	
auf alten Schiffen lernt man segeln	116	116	auf alten Schiffen + segeln +LERNEN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0				https://de.wiktionary.org/wiki/auf_alten_Schiffen_lernt_man_segeln	
auf Anhieb	117	117	auf Anhieb		797	797	797	797							797				https://de.wiktionary.org/wiki/auf_Anhieb	
auf Biegen und Brechen	118	118	auf Biegen und Brechen		2	2	2	2							2				https://de.wiktionary.org/wiki/auf_Biegen_und_Brechen	https://en.wiktionary.org/wiki/auf_Biegen_und_Brechen
auf dem Absatz kehrtmachen	119	119	auf dem Absatz + \bkehrt(\b|m|z|g) + _MACHEN		0	2 -> 0 -> 0	0	2 -> 0 -> 0							0				https://de.wiktionary.org/wiki/auf_dem_Absatz_kehrtmachen	
auf dem absteigenden Ast sein	120	120	auf dem absteigenden Ast		7	7	7	7							7				https://de.wiktionary.org/wiki/auf_dem_absteigenden_Ast_sein	https://en.wiktionary.org/wiki/auf_dem_absteigenden_Ast_sein
auf dem Boden der Tatsachen bleiben	121	121	auf dem Boden der Tatsachen + BLEIBEN		0	1 -> 0	0	1 -> 0							0				https://de.wiktionary.org/wiki/auf_dem_Boden_der_Tatsachen_bleiben	
auf dem falschen Dampfer sein	122	122	auf dem falschen Dampfer + SEIN		0	0 -> 0	0	0 -> 0							0	auf dem falschen Dampfer sein	auf dem falschen Dampfer sein		https://de.wiktionary.org/wiki/auf_dem_falschen_Dampfer_sein	
auf dem Gewissen haben	123	123	auf dem Gewissen		25	25	25	25							25				https://de.wiktionary.org/wiki/auf_dem_Gewissen_haben	
auf dem Holzweg sein	124	124	auf dem Holzweg + SEIN		1	4 -> 1	1	4 -> 1							1				https://de.wiktionary.org/wiki/auf_dem_Holzweg_sein	
auf dem Kieker haben	125	125	auf dem Kieker		1	1	1	1							1				https://de.wiktionary.org/wiki/auf_dem_Kieker_haben	
auf dem kleinen Dienstweg	126	126	auf dem kleinen Dienstweg		0	0	0	0							0				https://de.wiktionary.org/wiki/auf_dem_kleinen_Dienstweg	
auf dem Laufenden sein	127	127	auf dem Laufenden + SEIN	auf dem Laufenden	5	25 -> 5	5	26 -> 5	25	25	26	26			5	auf dem Laufenden halten			https://de.wiktionary.org/wiki/auf_dem_Laufenden_sein	
auf dem letzten Loch pfeifen	128	128	auf dem letzten Loch + PFEIFEN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/auf_dem_letzten_Loch_pfeifen	
auf dem Papier	129	129	auf dem Papier		88	88	88	88							88				https://de.wiktionary.org/wiki/auf_dem_Papier	
auf dem Schlauch stehen	130	130	auf dem Schlauch + STEHEN	auf dem Schlauch + SEIN	0	0 -> 0	0	0 -> 0	0	0 -> 0	0	0 -> 0			0				https://de.wiktionary.org/wiki/auf_dem_Schlauch_stehen	
auf dem Spiel stehen	131	131	auf dem Spiel + STEHEN	auf dem Spiel	41	51 -> 41	41	51 -> 41	51	51	51	51			41	auf dem Spiel stehen			https://de.wiktionary.org/wiki/auf_dem_Spiel_stehen	
auf dem Sünderstühlchen sitzen	132	132	auf dem Sünderstühlchen + SITZEN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/auf_dem_S%C3%BCnderst%C3%BChlchen_sitzen	
auf dem Teppich bleiben	133	133	auf dem Teppich + BLEIBEN		1	8 -> 1	1	8 -> 1							1				https://de.wiktionary.org/wiki/auf_dem_Teppich_bleiben	https://en.wiktionary.org/wiki/auf_dem_Teppich_bleiben
auf dem Trockenen sitzen	134	134	auf dem Trockenen + SITZEN		0	8 -> 0	0	11 -> 0							0				https://de.wiktionary.org/wiki/auf_dem_Trockenen_sitzen	
auf dem Zahnfleisch gehen	135	135	auf dem Zahnfleisch + GEHEN		0	2 -> 0	0	2 -> 0							0				https://de.wiktionary.org/wiki/auf_dem_Zahnfleisch_gehen	
auf den Busch klopfen	136	136	auf den Busch + klopf		1	1 -> 1	1	1 -> 1							1	auf den Busch klopfen			https://de.wiktionary.org/wiki/auf_den_Busch_klopfen	
auf den fahrenden Zug aufspringen	137	137	auf den Zug + \bauf(\b|spr.ng|zuspringen|gesprungen) + _SPRINGEN	auf den fahrenden Zug + \bauf(\b|spr.ng|zuspringen|gesprungen) + _SPRINGEN	3	19 -> 19 -> 3	3	19 -> 19 -> 3	0	0 -> 0 -> 0	0	0 -> 0 -> 0			3				https://de.wiktionary.org/wiki/auf_den_fahrenden_Zug_aufspringen	
auf den Geist gehen	138	138	auf den Geist + GEHEN		0	6 -> 0	0	6 -> 0							0	jemandem auf den Geist gehen			https://de.wiktionary.org/wiki/auf_den_Geist_gehen	https://en.wiktionary.org/wiki/auf_den_Geist_gehen
auf den Hund kommen	139	139	auf den Hund + KOMMEN		4	5 -> 4	4	5 -> 4							4				https://de.wiktionary.org/wiki/auf_den_Hund_kommen	https://en.wiktionary.org/wiki/auf_den_Hund_kommen
auf den Kopf hauen	140	140	auf den Kopf + HAUEN		0	175 -> 0	7	175 -> 7							0				https://de.wiktionary.org/wiki/auf_den_Kopf_hauen	
auf den Leim gehen	141	141	auf den Leim + GEHEN		12	12 -> 12	12	12 -> 12							12				https://de.wiktionary.org/wiki/auf_den_Leim_gehen	https://en.wiktionary.org/wiki/auf_den_Leim_gehen
auf den letzten Drücker	142	142	auf den letzten Drücker		4	4	4	4							4				https://de.wiktionary.org/wiki/auf_den_letzten_Dr%C3%BCcker	
auf den Plan treten	143	143	auf den Plan + TRETEN		22	101 -> 22	22	101 -> 22							22				https://de.wiktionary.org/wiki/auf_den_Plan_treten	
auf den Punkt kommen	144	144	auf den Punkt + KOMMEN		7	64 -> 7	8	64 -> 8							7	auf den Punkt kommen			https://de.wiktionary.org/wiki/auf_den_Punkt_kommen	
auf den Putz hauen	145	145	auf den Putz + HAUEN		2	4 -> 2	2	4 -> 2							2				https://de.wiktionary.org/wiki/auf_den_Putz_hauen	
auf den Sack gehen	146	146	auf den Sack + GEHEN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/auf_den_Sack_gehen	https://en.wiktionary.org/wiki/auf_den_Sack_gehen
