placeholder	replacement	comment
TRINKEN	\btr[iaä]nk|\bgetrunken	
STINKEN	\bst[iaä]nk|\bgestunken	
_STINKEN	st[iaä]nk|gestunken	
VERSINKEN	\bvers[iaä]nk|\bversunken	
FANGEN	\bf[aäi]ng|\bgefangen	
EMPFANGEN	\bempf[aäi]ng|\bempfangen	
_FANGEN	f[aäi]ng|\bgefangen	
TRAGEN	\btr[aäü]g|\bgetragen	
_TRAGEN	tr[aäü]g|getragen	
SCHLAGEN	\bschl[aäüu]g|\bgeschlagen	
_SCHLAGEN	schl[aäüu]g|geschlagen	
VERSCHLAGEN	\bverschl[aäüu]g|\bverschlagen	
ZERSCHLAGEN	\bzerschl[aäüu]g|\bzerschlagen	
GEBEN	\bg[eiaä]b|\bgegeben	
_GEBEN	g[eiaä]b|gegeben	
WERDEN	\bw[eiuaü]rd|geworden|\bworden	
STELLEN	\bstell|\bgestellt	Start section: Selected weak verbs
MACHEN	\bmach|\bgemacht	
_MACHEN	mach|gemacht	
RUHEN	\bruh|\bgeruht	
AUSRUHEN	\bruh|\bgeruht|\bausruh|\bauszuruhen|\bausgeruht	Separable
MITZEICHNEN	\bzeichne|\bgezeichnet|\bmitzeichne|\bmitzuzeichnen|\bmitgezeichnet	Separable
BAUEN	\bbau|\bgebaut	
STÖREN	\bstör|\bgestört	
PUPEN	\bpup|\bgepupt	
TUTEN	\btute?|\bgetutet	
FÜHLEN	\bfühl|\bgefühlt	
FÜHREN	\bführ|\bgeführt	
NÄHEN	\bnähe\b|\bnäh(s)?t\b|\bnähte|\bgenäht	Avoid just '\bnäh' because would match 'näher' (comparative of 'nah')
LIEBEN	\blieb|\bgeliebt	
ÄRGERN	\bärger|\bgeärgert	
STECKEN	\bsteck|\bgesteckt	
_STECKEN	steck|gesteckt	
SUCHEN	\bsuch|\bgesucht	
ZEIGEN	\bzeig|\bgezeigt	
REDEN	\bred|\bgeredet	
_REDEN	red|geredet	
SAGEN	\bsag|\bgesagt	
WAGEN	\bwag|\bgewagt	
NAGEN	\bnag|\bgenagt	
RAUCHEN	\brauch|\bgeraucht	
KRIEGEN	\bkrieg|\bgekriegt	
LEITEN	\bleit|\bgeleitet	
SETZEN	\bsetz|\bgesetz	
_SETZEN	setz|gesetz	
LEGEN	\bleg|\bgelegt	
LEBEN	\bleb|\bgelebt	
HOLEN	\bhol|\bgeholt	
_HOLEN	hol|geholt	
HAUEN	\bhau|\bgehaut	
_HAUEN	hau|gehaut	
TRAUEN	\btrau|\bgetraut	
KAUEN	\bkau|\bgekaut	
KLAUEN	\bklau|\bgeklaut	
SCHAUEN	\bschau|\bgeschaut	
REISEN	\breis|\bgereist	
_REISEN	reis|gereist	
KAUFEN	\bkauf|\bgekauft	
FEGEN	\bfeg|\bgefegt	
_FEGEN	feg|gefegt	
LECKEN	\bleck|\bgeleckt	
LERNEN	\blern|\bgelernt	
LOBEN	\blob|\bgeloben	
RÄUMEN	\bräum|\bgeräumt	
BADEN	\bbad|\bgebadet	
MALEN	\bmal[etse]|\bgemalt	Avoid just '\bmal' as a pattern to match since this would match the common (non-verb form) 'mal'
ÜBEN	\büb(\b|en?\b|s?t\b|te)|\bgeübt	Write out the common forms in full, since the regex '\büb' would match 'über'
AUSÜBEN	\büb(\b|en?\b|s?t\b|te)|\bgeübt\bausüb(\b|e(nd?)?\b|s?t\b|te)|\bauszuüben|\bausgeübt	Separable, see ABASTEN note
LÖSEN	\blös|\bgelöst	
AUFLÖSEN	\blös|\bgelöst\bauflös|\baufzulösen|\baufgelöst	Separable
_LEGEN	leg|gelegt	
ABASTEN	\baste|\babaste|\babzuasten|\babgeastet	Separable, but standard way of just searching for ab + aste will probably give a lot of false positive hits, so include here so \b can anchor the start.
SICH	\b[Mm]ich\b|\b[Dd]ich\b|\b[Ss]ich\b|\b[Uu]ns\b|\b[Ee]uch\b|\b[Mm]ir\b|\b[Dd]ir\b	
MANUAL_REVIEW		
