headword	orig order	re1	re2
an die Decke gehen	87	an die Decke + GEHEN	
an die Hand geben	88	an die Hand + GEBEN	
an einem seidenen Faden hängen	89	([Aa]m einem|[Aa]m) seidenen Faden  + HÄNGENHING	an einem seidenen Faden + HÄNGENHING
an einem Strang ziehen	90	an einem Strang + ZIEHEN	am gleichen Strang + ZIEHEN
an etwas keinen Kopf und keinen Arsch finden	91	an + keinen Kopf und keinen Arsch + FINDEN	
an jemandes Händen klebt Blut	92	Händen + klebt + Blut	
an jemandes Stuhl sägen	93	(an (seinem|ihrem|meinem|unsererm)|am) Stuhl + säg	
an sich halten	94	an SICHB + HALTEN	
anbieten wie sauer Bier	95	wie sauer Bier	
anbieten wie Sauerbier	96	wie Sauerbier + \ban(\b|b|z|g) + _BIETEN	
angedeihen lassen	97	angedeihen + LASSEN	
angst und bange sein	98	angst und bange + SEIN	
anno dazumal	99	anno dazumal	
anno Tobak	100	anno Tobak	
ans Bett gefesselt sein	101	ans Bett gefesselt + SEIN	
Anstalten machen	102	Anstalten + MACHEN	
Anstalten treffen	103	Anstalten + TREFFEN	
anything goes	104	anything goes	
arbeiten wie ein Pferd	105	wie ein Pferd + arbeite	
Arm und Reich	106	Arm und Reich	
arm wie eine Kirchenmaus sein	107	arm wie eine Kirchenmaus	
Arsch der Welt	108	Arsch der Welt	
Asbach uralt	109	Asbach uralt	
Asche aufs Haupt streuen	110	Asche aufs Haupt + streu	
Atem schöpfen	111	Atem + schöpf	
auch nur mit Wasser kochen	112	nur + mit Wasser + koch	
auf Abbruch heiraten	113	auf Abbruch + heirate	
auf Achse sein	114	auf Achse + SEIN	
auf allen Hochzeiten tanzen	115	auf allen Hochzeiten + tanz	
auf alten Schiffen lernt man segeln	116	auf alten Schiffen + segeln +LERNEN	
auf Anhieb	117	auf Anhieb	
auf Biegen und Brechen	118	auf Biegen und Brechen	
auf dem Absatz kehrtmachen	119	auf dem Absatz + \bkehrt(\b|m|z|g) + _MACHEN	
auf dem absteigenden Ast sein	120	auf dem absteigenden Ast	
auf dem Boden der Tatsachen bleiben	121	auf dem Boden der Tatsachen + BLEIBEN	
auf dem falschen Dampfer sein	122	auf dem falschen Dampfer + SEIN	
auf dem Gewissen haben	123	auf dem Gewissen	
auf dem Holzweg sein	124	auf dem Holzweg + SEIN	
auf dem Kieker haben	125	auf dem Kieker	
auf dem kleinen Dienstweg	126	auf dem kleinen Dienstweg	
auf dem Laufenden sein	127	auf dem Laufenden + SEIN	auf dem Laufenden
auf dem letzten Loch pfeifen	128	auf dem letzten Loch + PFEIFEN	
auf dem Papier	129	auf dem Papier	
auf dem Schlauch stehen	130	auf dem Schlauch + STEHEN	auf dem Schlauch + SEIN
auf dem Spiel stehen	131	auf dem Spiel + STEHEN	auf dem Spiel
auf dem Sünderstühlchen sitzen	132	auf dem Sünderstühlchen + SITZEN	
auf dem Teppich bleiben	133	auf dem Teppich + BLEIBEN	
auf dem Trockenen sitzen	134	auf dem Trockenen + SITZEN	
auf dem Zahnfleisch gehen	135	auf dem Zahnfleisch + GEHEN	
auf den Busch klopfen	136	auf den Busch + klopf	
auf den fahrenden Zug aufspringen	137	auf den Zug + \bauf(\b|spr.ng|zuspringen|gesprungen) + _SPRINGEN	auf den fahrenden Zug + \bauf(\b|spr.ng|zuspringen|gesprungen) + _SPRINGEN
auf den Geist gehen	138	auf den Geist + GEHEN	
auf den Hund kommen	139	auf den Hund + KOMMEN	
auf den Kopf hauen	140	auf den Kopf + HAUEN	
auf den Leim gehen	141	auf den Leim + GEHEN	
auf den letzten Drücker	142	auf den letzten Drücker	
auf den Plan treten	143	auf den Plan + TRETEN	
auf den Punkt kommen	144	auf den Punkt + KOMMEN	
auf den Putz hauen	145	auf den Putz + HAUEN	
auf den Sack gehen	146	auf den Sack + GEHEN	
auf den Sankt-Nimmerleins-Tag	147	auf den Sankt-Nimmerleins-Tag	
auf den Stutz	148	auf den Stutz	
auf den Swutsch gehen	149	auf den Swutsch + GEHEN	
auf der Bärenhaut liegen	150	auf der Bärenhaut 	
auf der Dacken liegen	151	auf der Dacken + LIEGEN	
auf der faulen Haut liegen	152	auf der faulen Haut + LIEGEN	
auf der gleichen Wellenlänge sein	153	auf der gleichen Wellenlänge + SEIN	
auf der Hand liegen	154	auf der Hand + LIEGEN	
auf der Hut sein	155	auf der Hut + SEIN	
auf der Kippe stehen	156	auf der Kippe	auf der Kippe + STEHEN
auf der Lauer liegen	157	auf der Lauer + LIEGEN	
auf der Stelle	158	auf der Stelle	
auf der Straße leben	159	auf der Straße + LEBEN + MANUAL_REVIEW	
auf der Strecke bleiben	160	auf der Strecke + BLEIBEN	auf der Strecke
auf der Tacken liegen	161	auf der Tacken + LIEGEN	
auf des Messers Schneide stehen	162	auf des Messers Schneide + STEHEN	auf des Messers Schneide
auf die Barrikaden gehen	163	auf die Barrikaden + GEHEN	
auf die Kacke hauen	164	auf die Kacke + HAUEN	
auf die Nase binden	165	auf die Nase + BINDEN	
auf die Nase fallen	166	auf die Nase + FALLEN	
auf die Nerven gehen	167	auf die Nerven + GEHEN	
auf die Pauke hauen	168	auf die Pauke + HAUEN	
auf die schiefe Bahn geraten	169	auf die Schiefe Bahn	
auf die Schnelle	170	auf die Schnelle	
auf die Straße gehen	171	auf die Straße + GEHEN	
auf die Tränendrüse drücken	172	auf die Tränendrüse + drück	
auf die Tube drücken	173	auf die Tube + drück	
auf Draht sein	174	auf Draht + SEIN	
auf dünnem Eis	175	auf dünnem Eis	auf dünnes Eis
auf eigene Faust	176	auf eigene Faust	
auf eigene Gefahr	177	auf eigene Gefahr	
auf eigene Rechnung	178	auf eigene Rechnung	
auf eigenen Beinen stehen	179	auf eigenen Beinen + STEHEN	
auf ein Haar	180	auf ein Haar	
auf etwas erpicht sein	181	auf + erpicht + SEIN	
auf etwas nichts kommen lassen	182	auf + nichts kommen + LASSEN	
auf ex trinken	183	auf ex + TRINKEN	
auf freiem Fuß sein	184	auf freiem Fuß	
auf freien Fuß setzen	185	auf freien Fuß + SETZEN	
auf Freiersfüßen gehen	186	auf Freiersfüßen + GEHEN	
auf Freiersfüßen wandeln	187	auf Freiersfüßen + wand(el|le)	
auf Gedeih und Verderb	188	auf Gedeih und Verderb	
auf Granit beißen	189	auf Granit + BEIẞEN	
auf großem Fuß leben	190	auf großem Fuß + LEBEN	
auf Grund laufen	191	auf Grund + LAUFEN	
auf gut Deutsch	192	auf gut Deutsch	
auf gutem Fuß stehen	193	auf gutem Fuß + STEHEN	
auf Heller und Pfennig	194	auf Heller und Pfennig	
auf Herz und Nieren prüfen	195	auf Herz und Nieren + prüf	
auf Holz klopfen	196	auf Holz + klopf	
auf jeden Fall	197	auf jeden Fall	
auf Kante nähen	198	auf Kante + NÄHEN	
auf keine Kuhhaut gehen	199	auf keine Kuhhaut + GEHEN	
auf keinen Fall	200	auf keinen Fall	
auf keinen grünen Zweig kommen	201	keinen grünen Zweig + KOMMEN	
auf Krawall gebürstet sein	202	auf Krawall gebürstet + SEIN	
auf laut stellen	203	auf laut + STELLEN	
auf Messers Schneide stehen	204	auf Messers Schneide	auf des Messers Schneide
auf Nimmerwiedersehen	205	auf Nimmerwiedersehen	
auf Nummer sicher gehen	206	auf Nummer + sicher	
auf offener Straße	207	auf offener Straße	
auf Pump leben	208	auf Pump + LEBEN	
auf Punkt und Beistrich	209	auf Punkt und Beistrich	
auf Punkt und Komma	210	auf Punkt und Komma	
auf Sand gebaut haben	211	auf Sand gebaut	
auf Schusters Rappen	212	auf Schusters Rappen	
auf sich warten lassen	213	auf SICHA warten + LASSEN	
auf Spitz und Knopf stehen	214	auf Spitz und Knopf + STEHEN	
auf taube Ohren stoßen	215	auf taube Ohren + STOẞEN	auf offene Ohren + STOẞEN
auf Teufel komm raus	216	auf Teufel + (\b|\bhe)raus(\b|k.m|zukommen|gekommen) + _KOMMEN	auf Teufel + (\b|\bhe)raus(\b|k|z|g) + _KOMMEN
auf tönernen Füßen stehen	217	auf tönernen Füßen + STEHEN	auf tönernen Füßen + SEIN
auf und davon	218	auf und davon	
auf verlorenem Posten stehen	219	auf verlorenem Posten + STEHEN	auf verlorenem Posten + SEIN
auf Vordermann bringen	220	auf Vordermann + BRINGEN	
auf Wolke sieben schweben	221	auf Wolke sieben	auf Wolke sieben + schweb
auf Zack bringen	222	auf Zack + BRINGEN	
auf Zack sein	223	auf Zack + SEIN	
auf Zuwachs berechnet sein	224	auf Zuwachs + berechnet + SEIN	
auf zwei Hochzeiten tanzen	225	auf zwei Hochzeiten + tanz	
aufgehen wie ein Hefekloß	226	wie ein Hefekloß	
aufgehen wie ein Pfannkuchen	227	wie ein Pfannkuchen + \bauf + _GEHEN	
aufn Swutsch gehen	228	aufn Swutsch + GEHEN	
aufpassen wie ein Haftelmacher	229	wie ein Haftelmacher	
aufpassen wie ein Heftelmacher	230	wie ein Heftelmacher + \bauf(\b|p|z|g) + pass	
aufpassen wie ein Luchs	231	wie ein Luchs + auf + pass	
aufpassen wie ein Schießhund	232	wie ein Schießhund	
aufs Ganze gehen	233	aufs Ganze + GEHEN	
aufs Haar	234	aufs Haar	
Aufsehen erregen	235	Aufsehen + \berreg	
Auge um Auge	236	Auge um Auge	
Auge um Auge, Zahn um Zahn	237	Auge um Auge + Zahn um Zahn	
Augen zu und durch	238	Augen zu und durch	
aus allen Himmeln fallen	239	aus allen Himmeln + FALLEN	
aus allen Himmeln stürzen	240	aus allen Himmeln + stürz	
aus allen Wolken fallen	241	aus allen Wolken + FALLEN	
aus Daffke	242	aus Daffke	
aus dem Blechnapf fressen	243	aus dem Blechnapf + FRESSEN	
aus dem Feuer reißen	244	aus dem Feuer + REIẞEN	
aus dem Handgelenk	245	aus dem Handgelenk	
aus dem Hinterhalt pupen	246	aus dem Hinterhalt + PUPEN	
aus dem Hut zaubern	247	aus dem Hut + zauber	
aus dem Knick kommen	248	aus dem Knick + KOMMEN	
aus dem Koffer leben	249	aus dem Koffer + LEBEN	
aus dem Kopf	250	aus dem Kopf	
aus dem Lameng	251	aus dem Lameng	
aus dem Leim gehen	252	aus dem Leim + GEHEN	
aus dem letzten Loch pfeifen	253	aus dem letzten Lock + PFEIFEN	
aus dem Nähkästchen plaudern	254	aus dem Nähkästchen + plauder	
aus dem Rahmen fallen	255	aus dem Rahmen + FALLEN	
aus dem Ruder laufen	256	aus dem Ruder + LAUFEN	
aus dem Schneider sein	257	aus dem Schneider + SEIN	
aus dem Vollen schöpfen	258	aus dem Vollen + schöpf	
aus den Augen verlieren	259	aus den Augen + VERLIEREN	
aus den Federn	260	aus den Federn	
aus den Fugen gehen	261	aus den Fugen + GEHEN	
aus den Fugen geraten	262	aus den Fugen + GERATEN	
aus den Latschen kippen	263	aus den Latschen + kipp	
aus der Art schlagen	264	aus der Art + SCHLAGEN	
aus der Decke schlagen	265	aus der Decke + SCHLAGEN	
aus der Haut fahren	266	aus der Haut + FAHREN	
aus der Hüfte schießen	267	aus der Hüfte + SCHIEẞEN	
aus der Lamäng	268	aus der Lamäng	
aus der Portokasse zahlen	269	aus der Portokasse + zahl	
aus der Reihe tanzen	270	aus der Reihe + tanz	
aus die Maus	271	aus die Maus	
aus einem Furz einen Donnerschlag machen	272	aus einem Furz + einen Donnerschlag + MACHEN	
aus einer Mücke einen Elefanten machen	273	Mücke + Elefanten + MACHEN	
aus etwas Honig saugen	274	Honig + SAUGEN	
aus etwas Kleinholz machen	275	aus + Kleinholz + MACHEN	
aus freien Stücken	276	aus freien Stücken	
aus jemandem Hackfleisch machen	277	aus + Hackfleisch + MACHEN	
aus jemandem Kleinholz machen	278	aus + Kleinholz + MACHEN	
aus Scheiße Geld machen	279	aus Scheiße + Geld + MACHEN	
aus seinem Herzen keine Mördergrube machen	280	aus SEINMND Herzen keine Mördergrube + MACHEN	
aus sich heraus	281	aus SICHD heraus	
aus vollem Hals	282	aus vollem Hals	
aus vollem Halse	283	aus vollem Halse	
aus voller Brust	284	aus voller Brust	
aus voller Kehle	285	aus voller Kehle	
ausgehen wie das Hornberger Schießen	286	wie das Hornberger Schieße	
Ausnahmen bestätigen die Regel	287	Ausnahmen + bestätigen + die Regel	
Ausschau halten	288	Ausschau + HALTEN	
aussehen wie das Leiden Christi	289	wie das Leiden Christi	
außer Rand und Band geraten	290	außer Rand und Band + GERATEN	
außer sich sein	291	außer SICHD + SEIN	
außer Spesen nichts gewesen	292	außer Spesen nichts gewesen	
Bacchus huldigen	293	Bacchug + huldig	
bar auf die Hand	294	bar auf die Hand	
Bauklötze staunen	295	Bauklötze + staun	
Bauklötzer staunen	296	Bauklötzer + staun	
Bedenken tragen	297	Bedenken + TRAGEN	
bei Adam und Eva anfangen	298	bei Adam und Eva + \ban(\b|f|z|g) + _FANGEN	
bei Fuß	299	bei Fuß	
bei jemandem abgegessen haben	300	abgegessen + HABEN + MANUAL_REVIEW	
bei jemandem auf den Busch klopfen	301	auf den Busch + klopf	
bei jemandem einen Stein im Brett haben	302	einen Stein + im Brett	
bei jemandem gut Wetter machen	303	bei + gut Wetter + MACHEN	
bei jemandem hat der Staatsanwalt den Finger drauf	304	\b[Bb]ei\b + der Staatsanwalt + den Finger + \bdrauf + HABEN	
bei jemandem hat der Staatsanwalt noch den Finger drauf	305	\b[Bb]ei\b + der Staatsanwalt + den Finger + \bdrauf + HABEN	
bei jemandem ist der Groschen gefallen	306	der Groschen + gefallen + SEIN + bei	
bei jemandem ist Schmalhans Küchenmeister	307	bei + Schmalhans Küchenmeister + SEIN	
bei jemandem schrillen die Alarmglocken	308	bei + die Alarmglocken + schrill	bei + die Alarmglocken + läut|kling[el]|schrill
bei Philippi sehen wir uns wieder	309	bei Philippi + wieder + _SEHEN	
bei Wasser und Brot sitzen	310	bei Wasser und Brot + SITZEN	
bei Wind und Wetter	311	bei Wind und Wetter	
beide Hände voll zu tun haben	312	beide Hände + voll zu tun	Hände + voll zu tun
beim Kranich zu Gast sein	313	beim Kranich zu Gast	
bekannt sein wie ein bunter Hund	314	wie ein bunter Hund + bekannt	
bekannt sein wie ein scheckiger Hund	315	wie ein scheckiger Hund + bekannt	
Berge versetzen können	316	Berge versetzen + KÖNNEN	
Bescheid sagen	317	Bescheid + SAGEN	
betrunken wie eine Strandhaubitze	318	betrunken + wie + Strandhaubitze	
Bilanz ziehen	319	Bilanz + ZIEHEN + MANUAL_REVIEW	
Bindfäden regnen	320	Bindfäden + regn	
bis an die Zähne bewaffnet sein	321	bis an die Zähne bewaffnet + SEIN	
bis bald	322	bis bald	
bis dann	323	bis dann	
bis hierher und nicht weiter	324	bis hierher und nicht weiter	
bis in die Puppen	325	bis in die Puppen	
bis ins Kleinste	326	bis ins Kleinste	
bis Oberkante Unterlippe	327	bis Oberkante Unterlippe	
bis zum Geht-nicht-mehr	328	bis zum Geht-nicht-mehr	
bis zum Gehtnichtmehr	329	bis zum Gehtnichtmehr	
bis zum Sankt-Nimmerleins-Tag	330	bis zum Sankt-Nimmerleins-Tag	
bis über beide Ohren verliebt sein	331	über beide Ohren + verliebt + SEIN	
bis über die Ohren verliebt sein	332	über die Ohren + verliebt + SEIN	
bitte schön	333	bitte schön	
bitten und betteln	334	BITTEN + bett(el|le)	
bleich wie der Tod	335	bleich wie der Tod	
blind vor Wut sein	336	blind vor Wut + SEIN	
blind wie ein Maulwurf	337	wie ein Maulwurf	
blinde Passagierin	338	blinde Passagierin	
blinder Passagier	339	blinder? Passagiere?	
Blumen sprechen lassen	340	Blumen sprechen + LASSEN	
Blut lecken	341	Blut + LECKEN	
Blut sehen wollen	342	Blut sehen + WOLLEN	
Blut und Wasser schwitzen	343	Blut und Wasser + schwitz	
blutenden Herzens	344	blutenden Herzens	
blühender Unsinn	345	blühender Unsinn	
Bohnen in den Ohren haben	346	Bohnen in den Ohren + HABEN	
breite Brust	347	breite Brust	
brennen wie ein Luster	348	wie ein Luster + BRENNEN	
brennen wie Zunder	349	wie Zunder + BRENNEN	
brüllen wie am Spieß	350	wie am Spieß + brüll	
Butter bei die Fische	351	Butter bei die Fische	
Bände sprechen	352	Bände + SPRECHEN	
bäule gehen	353	bäule + GEHEN	
böhmische Dörfer	354	böhmische Dörfer	
Böses im Schilde führen	355	Böses + im Schilde + FÜHREN	
carpe noctem	356	carpe noctem	
ceterum censeo	357	ceterum censeo	
Chomez batteln	358	Chomez + batt(el|le)	
Così fan tutte	359	Così fan tutte	
da beißt die Maus keinen Faden ab	360	die Maus + keinen Faden + \bab(\b|b|z|g) + _BEIẞEN	
da beißt sich die Katze in den Schwanz	361	SICH + die Katze in den Schwanz + BEIẞEN	
da brat mir einer einen Storch	362	einen Storch + BRATEN	
da liegt der Hase im Pfeffer	363	der Hase im Pfeffer + LIEGEN	
da liegt der Hund begraben	364	liegt + der Hund + BEGRABEN	
da nicht für	365	da nicht für	
da scheiden sich die Geister	366	SICH + die Geister + SCHEIDEN	
da wird doch der Hund in der Pfanne verrückt	367	der Hund in der Pfanne	
dafür nicht	368	dafür nicht + MANUAL_REVIEW	
daheim ist daheim	369	daheim ist daheim	
damit ist kein Blumentopf zu gewinnen	370	Blumentopf + zu gewinnen + SEIN	
Dampf ablassen	371	Dampf + \bab(\b|l|zulassen|gelassen) + _LASSEN	Dampf + \bab(\b|l|z|g) + _LASSEN
danke für die Blumen	372	danke für die Blumen	
danke schön	373	danke schön	
dann wollen wir mal	374	dann wollen wir mal	
darauf kann jemand Gift nehmen	375	auf + Gift nehmen + KÖNNEN	
das A und das O	376	\b[Dd](as|em) A und d(as|em) O\b	das A und das O
das A und O	377	\b[Dd](as|em) A und O\b	das A und O
das Abendmahl auf etwas nehmen	378	das Abendmahl auf + NEHMEN	
das Alpha und das Omega	379	\b[Dd](as|em) Alpha und d(as|em) Omega\b	das Alpha und das Omega
das Auge des Gesetzes	380	\b[Dd](as|es|em) Auges? des Gesetzes\b	das Auge des Gesetzes
das Bett hüten	381	das Bett + hüt	
das Blaue vom Himmel herunter lügen	382	das Blaue vom Himmel + herunter + LÜGEN	
das Blaue vom Himmel versprechen	383	das Blaue vom Himmel + herunter + VERSPRECHEN	
das Eis brechen	384	das Eis + BRECHEN + MANUAL_REVIEW	
das Fass ins Rollen bringen	385	das Fass ins Rollen + BRINGEN	
das Feld räumen	386	das Feld + RÄUMEN	
das fünfte Rad am Wagen sein	387	fünfte[smn]? Rad' + am Wagen	
das Gelbe vom Ei	388	\b[Dd](as|es|em) Gelbes? vom Ei\b	das Gelbe vom Ei
das Gelbe vom Ei sein	389	das Gelbe vom Ei + SEIN	
das Geld zum Fenster hinauswerfen	390	das Geld zum Fenster + \bhinaus(\b|w|z|g) + _WERFEN	
das Genick brechen	391	das Genick + BRECHEN	
das geringere Übel wählen	392	geringere Übel + wähl	
das Gesicht verlieren	393	das Gesicht + VERLIEREN	
das Gnadenbrot bekommen	394	das Gnadenbrot + BEKOMMEN	
das Gras wachsen hören	395	das Gras + wachsen + hör	
das Grauen hat einen Namen	396	das Grauen + einen Namen + HABEN	
das Haar in der Suppe suchen	397	Haar in der Suppe + SUCHEN	
das Hackl im Kreuz spüren	398	das Hackl im Kreuz + spür	
das Hackl im Kreuz stecken haben	399	das Hackl im Kreuz stecken + HABEN	
das Handtuch werfen	400	das Handtuch + WERFEN	
das Heft in der Hand halten	401	Heft in der Hand + HALTEN	
das Herz am rechten Fleck haben	402	Herz + Fleck + recht	Herz + am rechten Fleck + HABEN
das Herz auf dem rechten Fleck haben	403	Herz + Fleck + recht	Herz + auf dem rechten Fleck + HABEN
das horizontale Gewerbe	404	\b[Dd](as|es|em) horizontale[mn]? Gewerbes?\b	das horizontale Gewerbe
das Huhn, das goldene Eier legt, schlachten	405	das Huhn + das goldene Eier legt + schlacht	
das ist ein weites Feld	406	ein weites Feld + SEIN	
das Kind beim Namen nennen	407	das Kind beim Namen + NENNEN	
das Kind im Manne	408	\b[Dd](as|es|em) Kind(e?s)? im Manne\b	das Kind im Manne
das Kind mit dem Bade ausschütten	409	\baus + das Kind mit dem Bade	
das kommt davon	410	das kommt davon	
das Kriegsbeil ausgraben	411	das Kriegsbeil + \baus(\b|z|g) + _GRABEN	
das Kriegsbeil begraben	412	das Kriegsbeil + BEGRABEN	
das Leben ist kein Ponyhof	413	das Leben + kein Ponyhof + SEIN	
das Licht der Welt erblicken	414	das Licht der Welt + erblick	
das macht das Kraut auch nicht fett	415	das Kraut + auch nicht fett + MACHEN	
das macht das Kraut nicht fett	416	das Kraut + nicht fett + MACHEN	
das macht den Braten auch nicht fett	417	den Braten + auch nicht fett + MACHEN	den Braten + nicht fett + MACHEN
das macht den Kohl auch nicht fett	418	den Kohl + auch nicht fett + MACHEN	
das macht den Kohl nicht fett	419	den Kohl + nicht fett + MACHEN	
das macht nichts	420	das macht nichts + MANUAL_REVIEW	
das Maß aller Dinge	421	\b[Dd](as|es|em) Maß(es)? aller Dinge\b	das Maß aller Dinge
das Maß ist voll	422	das Maß ist voll	
das Maul halten	423	das Maul + HALTEN	SEINNA Maul + HALTEN
das pfeifen die Spatzen von den Dächern	424	die Spatzen von den Dächern + PFEIFEN	
das Pferd am Schwanz aufzäumen	425	das Pferd + am Schwanz + \bauf(\b|z|g) + zäum	
das Pferd beim Schwanz aufzäumen	426	das Pferd + beim Schwanz + \bauf(\b|z|g) + zäum	
das Pferd von hinten aufzäumen	427	das Pferd + von hinten + \bauf(\b|z|g) + zäum	
das Rückgrat brechen	428	das Rückgrat + BRECHEN	
das Sagen haben	429	das Sagen + HABEN	
das schleckt keine Geiß weg	430	keine Geiß + \bweg + schleck	
das schwarze Schaf sein	431	das schwarze Schaf + SEIN	
das sieht doch ein Blinder	432	doch ein Blinder + SEHEN	
das sieht doch ein Blinder mit dem Krückstock	433	doch ein Blinder + mit dem Krückstock + SEHEN	
das Weite suchen	434	das Weite + SUCHEN	
das Zeitliche segnen	435	das Zeitliche + segne	
das Zeug zu etwas haben	436	das Zeug zu + HABEN	
das Zünglein an der Waage sein	437	Zünglein + an der Waage	Zünglein + an der Waage + SEIN
das älteste Gewerbe der Welt	438	\b[Dd](as|em|es) älteste[mn]? Gewerbes? der Welt\b	das älteste Gewerbe der Welt
das Übel an der Wurzel packen	439	an der Wurzel + pack	Übel + an der Wurzel + pack
dasselbe in Grün	440	dasselbe in Grün	
dastehen wie bestellt und nicht abgeholt	441	wie bestellt  + nicht + abgeholt + _STEHEN	
dastehen wie der Ochse vor dem Scheunentor	442	wie der Ochse + vor dem Scheunentor	
dastehen wie die Kuh vorm neuen Tor	443	wie die Kuh + vor + Tor	
dein Wort in Gottes Ohr	444	dein Wort in Gottes Ohr	Ihr Wort in Gottes Ohr
dem Bacchus huldigen	445	dem Bacchus + huldig	
dem Erdboden gleichmachen	446	dem Erdboden + gleich + _MACHEN	
