headword	n_manual_sampsize
quod erat faciendum	
Ratte der Lüfte	
rauchen wie ein Schlot	
Rechenschaft ablegen	
recht in der Annahme gehen	
reden wie ein Wasserfall	
rein in die Kartoffeln, raus aus den Kartoffeln	
Reißaus nehmen	
reißenden Absatz finden	
requiescat in pace	
Rheumatismus zwischen Daumen und Zeigefinger haben	
Rosinen im Kopf haben	
Ross und Reiter nennen	
rote Zahlen schreiben	
roter Faden	
Rotz und Wasser heulen	
ruhig Blut bewahren	
Rücken haben	50
Sachen gibts, die gibts gar nicht	
Sachen gibt’s, die gibt’s gar nicht	
sag bloß	
sage und schreibe	
saufen wie ein Loch	
Schas mit Quasteln	
scheiß der Hund drauf	
Scheiße bauen	
Schicht im Schacht	
schief gewickelt sein	
schimpfen wie ein Rohrspatz	
schlafen wie ein Murmeltier	
schlafen wie ein Stein	
schlecht beieinander sein	
schlecht und recht	
schlechte Karten haben	
Schluss machen	
Schluss mit lustig	
Schlösser in die Luft bauen	
Schmetterlinge im Bauch haben	
Schmiere stehen	
Schmonzes mit Lakritzen	
schmutzige Wäsche waschen	
Schnecken	all
Schnee von gestern	
schreien wie am Spieß	
Schritt für Schritt	
Schrödingers Arschloch	
Schulter an Schulter	
Schwamm drüber	
schwarz auf weiß	
schwarze Zahlen schreiben	
Schwein haben	
schweren Herzens	
schweres Geschütz auffahren	
Seemannsgarn spinnen	
sehenden Auges	
sein blaues Wunder erleben	
sein Damaskus erleben	
sein Dasein fristen	
sein greises Haupt schütteln	
sein Herz auf den Lippen tragen	
sein Herz auf der Zunge tragen	
sein Ithaka finden	
sein Leben lassen	
sein Leben selbst in die Hand nehmen	
sein Mäntelchen nach dem Wind hängen	
sein Scherflein beitragen	
sein Schäfchen ins Trockene bringen	
sein Wasser abschlagen	
seine Felle wegschwimmen sehen	
seine Füße finden	
seine Haut so teuer wie möglich verkaufen	
seine Klappe halten	
seine Notdurft verrichten	
seine Pappenheimer kennen	
seine Schäfchen im Trockenen haben	
seine Schäfchen ins Trockene bringen	
seine Schäflein im Trockenen haben	
seine Schäflein ins Trockene bringen	
seine Siebensachen packen	
seine Zelte abbrechen	
seinem Herzen Luft machen	
seinem Ärger Luft machen	
seinen Arsch verwetten	
seinen Augen nicht trauen	
seinen Beitrag leisten	
seinen Dreh nicht kriegen	
seinen Frieden mit etwas machen	
seinen Geist aufgeben	
seinen Geist aushauchen	
seinen Hut nehmen	
seinen Jürgen würgen	
seinen Lauf nehmen	
seinen Mann stehen	
seinen Schnitt machen	
seinen Segen zu etwas geben	
seinen Senf dazugeben	
seinen Tag von Damaskus erleben	
seines Zeichens	
selber essen macht fett	
seligen Angedenkens	
seltsame Blüten treiben	
shit happens	
sich alle zehn Finger abschlecken können	
sich am Riemen reißen	
sich an die eigene Nase fassen	
sich an etwas die Zunge abbrechen	
sich an etwas die Zähne ausbeißen	
sich an etwas machen	50
sich an jemandes Fersen heften	
sich anheischig machen	
sich Asche aufs Haupt streuen	
sich auf den Hosenboden setzen	
sich auf die faule Haut legen	
sich auf die Socken machen	
sich auf die Zunge beißen	
sich auf Französisch empfehlen	
sich auf Französisch verabschieden	
sich auf seine vier Buchstaben setzen	
sich auf seinen Lorbeeren ausruhen	
sich aufs Ohr hauen	
sich aufs Ohr legen	
sich aus dem Fenster lehnen	
sich aus dem Staub machen	
sich aus dem Staube machen	
sich aus der Klemme ziehen	
sich ausschütten vor Lachen	
sich bei jemandem sehen lassen	
sich benehmen wie die Axt im Walde	
sich bis auf die Knochen blamieren	
sich blind verstehen	
sich das Leben nehmen	
sich das Wasser abschlagen	
sich den Arsch aufreißen	
sich den Bauch vollschlagen	
sich den Hals abdrehen	
sich den Kopf zerbrechen	
sich den Mund fusselig reden	
sich den Schneid abkaufen lassen	
sich den Schuh nicht anziehen	
sich den Wolf laufen	
sich die Augen ausweinen	
sich die Beine in den Bauch stehen	
sich die Beine in den Leib stehen	
sich die besten Rosinen herauspicken	
sich die dicksten Rosinen herauspicken	
sich die Eier schaukeln	
sich die Finger abarbeiten	
sich die Finger schmutzig machen	
sich die größten Rosinen herauspicken	
sich die Hand geben	
sich die Hörner abstoßen	
sich die Kante geben	
sich die Kehle anfeuchten	
sich die Klinke in die Hand geben	
sich die Nacht um die Ohren schlagen	
sich die Nille verbrannt haben	
sich die Rosinen aus dem Kuchen picken	
sich die Rosinen herauspicken	
sich die Seele aus dem Leib weinen	
sich durchs Leben schlagen	
sich ein Bild von etwas machen	
sich ein Bild von jemandem machen	
sich ein Ei legen	
sich ein Herz fassen	
sich ein Monogramm in den Hintern beißen	
sich eine goldene Nase verdienen	
sich einen abasten	
sich einen abfrieren	
sich einen Ast lachen	
sich einen feuchten Kehricht für etwas interessieren	
sich einen feuchten Kehricht um etwas kümmern	
sich einen feuchten Kehricht um etwas scheren	
sich einen guten Abgang verschaffen	
sich einen hinter die Binde gießen	
sich einen hinter die Binde kippen	
sich einen Klotz ans Bein binden	
sich einen Reim auf etwas machen	
sich einen Ruck geben	
sich einen schlanken Fuß machen	
sich einen Spreißel einziehen	
sich einen Stiefel einbilden	
sich einen von der Palme wedeln	
sich einen Wolf laufen	
sich eins feixen	
sich entschuldigen lassen	
sich etwas auf die Fahne schreiben	
sich etwas aus den Fingern saugen	
sich etwas durch den Kopf gehen lassen	
sich etwas durch die Lappen gehen lassen	
sich etwas gefallen lassen	
sich etwas hinter die Ohren schreiben	
sich etwas ins Bewusstsein rufen	
sich etwas unter den Nagel reißen	
sich etwas zu Gemüte führen	
sich etwas zur Brust nehmen	
sich etwas zwischen die Kiemen schieben	
sich französisch empfehlen	
sich französisch verabschieden	
sich freuen wie ein Schneekönig	
sich für jemanden die Hand abschlagen lassen	
sich gehen lassen	
sich gerädert fühlen	
sich grün und blau ärgern	
sich häuslich einrichten	
sich im freien Fall befinden	
sich im Kreis bewegen	
sich im Kreis drehen	
sich in Acht nehmen	
sich in anderen Umständen befinden	
sich in den Haaren liegen	
sich in die Brust werfen	
sich in die eigene Tasche lügen	
sich in die Falle hauen	
sich in die Haare fahren	
sich in die Haare geraten	
sich in die Haare kriegen	
sich in die Hose machen	
sich in die Höhle des Löwen begeben	
sich in die Höhle des Löwen wagen	
sich in die Riemen legen	
sich in die Ruder legen	
sich in ein gemachtes Bett legen	
sich in geistige Unkosten stürzen	
sich in Grenzen halten	
sich in Luft auflösen	
sich in Schale schmeißen	
sich in Schale werfen	
sich in seine Bestandteile auflösen	
sich in Szene setzen	
sich in Wohlgefallen auflösen	
sich ins eigene Fleisch schneiden	
sich ins Fäustchen lachen	
sich ins gemachte Bett legen	
sich ins Hemd machen	
sich ins Knie ficken	
sich ins Koma saufen	
sich ins Zeug legen	
sich jemanden zur Brust nehmen	
sich kein Bein ausreißen	
sich keine Spinne übers Maul wachsen lassen	
sich keine Verzierung abbrechen	
sich keinen abbrechen	
sich krümmen wie ein Aal	
sich lieber die Zunge abbeißen	
sich mit fremden Federn schmücken	
sich nicht die Butter vom Brot nehmen lassen	
sich nicht in die Karten schauen lassen	
sich nicht lumpen lassen	
sich nichts schenken	
sich nützlich machen	
sich schadlos halten	
sich schwarz ärgern	
sich um jeden Hosenknopf kümmern	
sich um Kopf und Kragen reden	
sich verkaufen wie geschnitten Brot	
sich vom Acker machen	
sich von jemandem eine Scheibe abschneiden können	
sich vor Lachen ausschütten	
sich vor seinem eigenen Schatten fürchten	
sich wie ein Elefant im Porzellanladen benehmen	
sich wie gerädert fühlen	
sich winden wie ein Aal	
sich zu Tode lachen	
sich zu Tode saufen	
sich zum Affen machen	
sich zum Narren machen	
sich über etwas im Klaren sein	
sicher wie in Abrahams Schoß	
sieben fette Jahre	
sitzt, passt, wackelt und hat Luft	
so lala	
so sicher wie das Amen in der Kirche	
so um den Dreh	
so weit das Auge reicht	
so weit die Füße tragen	
so weit, so gut	
soziale Hängematte	
Spitz auf Knopf stehen	
Stachel im Fleisch	
Stachel im Fleische	
starker Tobak sein	
Station machen	
Staub aufwirbeln	
stehen vor Dreck	
stehenden Fußes	
steif und fest	
steiler Zahn	
Stein des Anstoßes	
Stein und Bein schwören	
stinken wie die Pest	
stolz wie ein Pfau	
stolz wie Oskar sein	
straßauf, straßab	
stumm wie ein Fisch	
Sturm im Wasserglas	
summa summarum	
Süßholz raspeln	
Tabula rasa machen	
Tacheles reden	
Tacheles sprechen	
Tag für Tag	
Tag und Nacht	
tagaus, tagein	
tagein, tagaus	
taube Nuss	
tausend Tode sterben	
teile und herrsche	
tief in die Tasche greifen müssen	
Tomaten auf den Augen haben	
tote Hose	
trau, schau, wem	
treppauf, treppab	
treulose Tomate	
Tränen lachen	
Tränen vergießen	
trübe Tulpe	
Trübsal blasen	
Trümpfe aus der Hand geben	
Tulpe tun	
tun wie ’ne Tulpe	
türein, türaus	
Tüten kleben	
um den Dreh	
um den heißen Brei herumreden	
um den Pudding gehen	
um die Ecke	
um die Ecke denken	
um die goldene Ananas	
um ein Haar	
um jeden Preis	
um sich greifen	
um Welten	
umhergehen wie ein brüllender Löwe	
ums Leben kommen	
ums Verrecken nicht	
und ob	all
und tschüs	
und tschüss	
und täglich grüßt das Murmeltier	
ungeschoren davonkommen	
ungeschriebenes Gesetz	
Unkraut verdirbt nicht	
Unkraut vergeht nicht	
Unrat wittern	
unter aller Kanone	
unter aller Sau	
unter Dach und Fach	
unter dem Messer liegen	
unter dem Siegel der Verschwiegenheit	
unter den Hammer bringen	
unter den Hammer kommen	
unter den Teppich kehren	
unter der Erde liegen	
unter der Hand	
unter der Tuchent	
unter der Woche	
unter die Gürtellinie gehen	
unter die Haube bringen	
unter die Haut gehen	
unter einen Hut bringen	
unter einer Decke stecken	
unter ferner liefen	
unter jemandes Fuchtel stehen	
unter Strom stehen	
unter Tage	
unter uns Pastorentöchtern	
unter uns Pfarrerstöchtern	
unter vier Augen	
unter Waffen stehen	
Urlaub auf Balkonien machen	
va banque spielen	
vae victis	
Vaterfreuden entgegensehen	
verantwortlich zeichnen	
verbogene Nille	
verdammte Axt	
verlängerte Nille	
vernagelt sein	
Versicherung an Eides statt	
Versicherung an Eides Statt	
viel Geschrei und wenig Wolle	
viel Holz vor der Hütte haben	
viel um die Ohren haben	
viel Wind um etwas machen	
viral gehen	
Vitamin B	all
voll und ganz	
voll wie eine Haubitze	
volle Kanne	
vom Fleck weg	
vom Fleisch fallen	
vom Hundertsten ins Tausendste kommen	
vom Hölzchen aufs Stöckchen kommen	
vom Laster gefallen	
vom Leder ziehen	
vom Pfad der Tugend abweichen	
vom Regen in die Traufe kommen	
vom Schiff aus	
vom Tisch sein	
von A bis Z	
von allen guten Geistern verlassen sein	
von Auge	all
von blossem Auge	
von dannen ziehen	
von den Socken sein	
von der Bühne abtreten	
von der Hand in den Mund leben	
von der Steuer absetzen	
von der Wiege bis zur Bahre	
von etwas Wind bekommen	
von früh bis spät	
von Haus aus	
von Herzen kommen	
von heute auf morgen	
von hinten Lyzeum, von vorne Museum	
von Höcksken auf Stöcksken kommen	
von jetzt auf gleich	
von keiner Kultur beleckt sein	
von Kindesbeinen an	
von klein auf	
von langer Hand	
von Luft und Liebe leben	
von null auf hundert	
von oben herab	
von Pontius zu Pilatus	
von sich aus	
von Tuten und Blasen keine Ahnung haben	
von vornherein	
von Zeit zu Zeit	
vor der eigenen Tür kehren	
vor die Hunde gehen	
vor Dreck stehen	
vor Faulheit stinken	
vor Freude an die Decke springen	
vor Gesundheit strotzen	
vor versammelter Mannschaft	
vorne und hinten nicht	
Wachs in jemandes Händen sein	
was das Zeug hält	
was die Glocke geschlagen hat	
was liegt, das pickt	
was man nicht im Kopf hat, hat man in den Beinen	
was weiß ich	
Wasser auf jemandes Mühle leiten	
Wasser ins Meer tragen	
Wasser lassen	50
Wasser predigen und Wein trinken	
weder Hand noch Fuß haben	
weder noch	
weder Tod noch Teufel fürchten	
weg vom Fenster sein	
weggehen wie heiße Semmeln	
weggehen wie warme Semmeln	
wehret den Anfängen	
weinen wie ein Schlosshund	
weiß der Geier	
weiße Weihnachten	
weit hergeholt	
weitab vom Schuss sein	
Wellen schlagen	
wenn alle Stricke reißen	
wenn es hoch kommt	
wenn Ostern und Pfingsten auf einen Tag fallen	
wenn Ostern und Weihnachten auf einen Tag fallen	
wenn schon, denn schon	
wennschon, dennschon	
wer lesen kann, ist klar im Vorteil	
wer’s glaubt, wird selig	
wes Brot ich ess, des Lob ich sing	
wie am Schnürchen	
wie angegossen passen	
wie auch schon	
wie aus dem Bilderbuch	
wie aus demselben Ei gebrütet	
wie aus demselben Ei gekrochen	
wie aus der Pistole geschossen	
wie aus Eimern gießen	
wie aus Eimern schütten	
wie aus einem Guss	
wie bei den Hottentotten	
wie bei Hempels unterm Sofa	
wie bei Muttern	
wie Bolle	
wie Braunbier mit Spucke aussehen	
wie Braunbier und Spucke aussehen	
wie das Leiden Christi aussehen	
wie die Feuerwehr	
wie die Hölle	
wie die Nase des Mannes, so sein Johannes	
wie die Pest	
wie ein Affe auf dem Schleifstein sitzen	
wie ein begossener Pudel	
wie ein Besengter	
wie ein Ei dem anderen gleichen	
wie ein geölter Blitz	
wie ein Grab schweigen	
wie ein Kaninchen vor der Schlange stehen	
wie ein Lauffeuer	
wie ein Schweizer Uhrwerk	
wie ein Storch im Salat	
wie ein Veilchen im Verborgenen blühen	
wie Espenlaub zittern	
wie geht es dir	
wie gerädert sein	
wie gestochen	
wie im Bilderbuch	
wie in Abrahams Schoß	
wie Kastor und Pollux sein	
wie Katz und Maus	
wie Kraut und Rüben	
wie mit Eimern gießen	
wie Pilze aus dem Boden schießen	
wie Sand am Meer	
wie Schmidts Katze	
wie spät ist es	
wie Titte mit Ei schmecken	
wie vernagelt sein	
wie vom Donner gerührt	
wie vom Erdboden verschluckt	
wie von der Tarantel gestochen	
wie’s Katzenmachen gehen	
wild ins Kraut schießen	
wilde Ehe	
willens sein	
Wink mit dem Zaunpfahl	
wir werden das Kind schon schaukeln	
wissen, wo Barthel den Most holt	
wissen, wo Bartli den Most holt	
wissen, wo der Bartl den Most holt	
wo der Schuh drückt	
wo die Liebe hinfällt	
wo ein Aas ist, sammeln sich die Raben	
wo man hinspuckt	
wo Rauch ist, ist auch Feuer	
wo rohe Kräfte sinnlos walten	
woher nehmen und nicht stehlen	
wohl bekomms	
Wohl und Wehe	
Würmer baden	
Zahlemann und Söhne	
Zapfen haben	
zarte Bande knüpfen	
zeigen, wo Barthel den Most holt	
zeigen, wo Bartli den Most holt	
zeigen, wo der Bartl den Most holt	
zeigen, wo der Frosch die Locken hat	
Zeit verstreichen lassen	
Zeit von der Uhr nehmen	
Zeter und Mordio schreien	
zu allem Ja und Amen sagen	
zu Bett sein	
zu Buche schlagen	
zu etwas kommen wie die Jungfrau zum Kind	
zu Händen von	
zu jemandem halten	200
zu Kreuze kriechen	
zu kurz kommen	
zu Neige gehen	
zu Potte kommen	
zu Rande kommen	
zu sich kommen	
zu Staub und Asche werden	
zu tief ins Glas blicken	
zu tief ins Glas schauen	
zu Tode kommen	
zu weit gehen	
zu Wort kommen	
zu wünschen übrig lassen	
zu zweien	
zu zweit	
Zucht und Ordnung	
Zuckerbrot und Peitsche	
zum alten Eisen zählen	
zum Anbeißen aussehen	
zum Anbeißen sein	
zum Anfassen	
zum Anknabbern aussehen	
zum Anknabbern sein	
zum Donnerwetter	
zum Lachen in den Keller gehen	
zum Punkt kommen	
zum Saufüttern	
zum Teufel gehen	
zum Vorschein bringen	
zum Vorschein kommen	
zum Zuge kommen	
zur Engelmacherin gehen	
zur Flasche greifen	
zur Genüge	
zur Neige gehen	
zur Sache kommen	
zur Salzsäule erstarren	
zur See fahren	
zur Sprache kommen	
zur Welt bringen	
Zustände kriegen	
zwei Fliegen mit einer Klappe schlagen	
zwei linke Hände haben	
zwei Seelen wohnen, ach, in meiner Brust	
zweiter Klasse	
zwischen Baum und Borke stehen	
zwischen den Jahren	
zwischen den Zeilen lesen	
zwischen die Fronten geraten	
zwischen Skylla und Charybdis sein	
zwischen Tür und Angel	
ägyptische Finsternis	
Äpfel mit Birnen vergleichen	
Öl auf die Wogen gießen	
Öl ins Feuer gießen	
über alle Berge sein	
über alle Zweifel erhaben sein	
über das Ziel hinausschießen	
über dem Berg sein	
über den Berg sein	
über den eigenen Schatten springen	
über den eigenen Schatten stolpern	
über den grünen Klee loben	
über den Jordan gehen	
über den Tellerrand schauen	
über die Runden kommen	
über die Schnur schlagen	
über die Stränge schlagen	
über die Wupper gehen	
über Gebühr	
über Gott und die Welt reden	
über Leichen gehen	
über seine Verhältnisse leben	
über seinen Schatten springen	
über Stock und Stein	
überflüssig wie ein Kropf sein	
übers Ohr hauen	
’s Maul halten	
'n Appel und 'n Ei	
ab und zu	
abbügeln	
abfahren	50
abgekartete Sache	
abgekartetes Spiel	
abkönnen	50
Alarm schlagen	
alt werden	200
alter Hut	
am helllichten Tag	
am Herd stehen	
am laufenden Band	
am seidenen Faden hängen	
am Wickel haben	
an Boden gewinnen	
an den Bettelstab bringen	
an den Haaren herbeigezogen	
an den Mann bringen	
an den Pranger stellen	
an den Tag legen	
an der Ecke	
an der falschen Adresse sein	
an der Nase herumführen	
an die Kandare nehmen	
an die Wand stellen	
an Sankt Nimmerlein	
anderes Ufer	
ans Licht kommen	
Anteil nehmen	
arglistige Täuschung	
Arsch in der Hose	
Arschkriecher	
Arschkriecherei	
Ass im Ärmel	
auch andere Mütter haben schöne Töchter	
auf 180	all
auf dem Damm	
auf dem falschen Dampfer	
auf dem Kriegspfad	
auf dem Laufenden halten	
auf dem richtigen Dampfer	
auf dem Spiel	
auf den Arm nehmen	
auf den Keks gehen	
auf den Schlips treten	
auf den Senkel gehen	
auf den Wecker gehen	
auf den Zahn fühlen	
auf den Zeiger gehen	
auf den Zug aufspringen	
auf der gleichen Wellenlänge	
auf der grünen Wiese	
auf der Kippe	
auf die leichte Schulter nehmen	
auf die Schippe nehmen	
auf die Sprünge helfen	
auf einem anderen Blatt stehen	
auf einen Sprung vorbeikommen	
auf etwas Gift nehmen können	
auf keine Kuhhaut passen	
auf Trab halten	
aufs Geld gucken	
aufs Korn nehmen	
Augen machen	all
aus blauem Himmel	
aus dem Ärmel schütteln	
aus dem gleichen Holz geschnitzt sein	
aus dem Off	
aus der Not eine Tugend machen	
aus einem Guss	
aus etwas Kapital schlagen	
aus heiterem Himmel	
ausbaden	50
außen hui, innen pfui	
außer Betracht bleiben	
außer Betracht lassen	
außer Frage	
außer Kontrolle geraten	
außer sich	
Avancen machen	
bei allem gebotenen Respekt	
bei aller Liebe	
bei jemandem sein	200
bei sich sein	all
beim Barte des Propheten	
beim besten Willen	
Beine bis zum Boden	
beleidigte Leberwurst	
Bescheid geben	
bin ich Jesus	
blauer Dunst	
Blech reden	
böses Erwachen	
Brief und Siegel	
Briefmarkensammlung	
Chinesisch sprechen	all
Crème de la Crème	
da fährt die Eisenbahn drüber	
da haben wir den Salat	all
da lachen ja die Hühner	
Damaskuserlebnis	
das Fell gerben	
das Fell über die Ohren ziehen	
das Gesicht wahren	
das kann man wohl sagen	
das kannst du laut sagen	
das Kind fällt in den Brunnen	
das Kraut fett machen	
das Rad neu erfinden	
das Wasser reichen können	
dem Braten nicht trauen	
dem Frieden nicht trauen	
den Arsch aufreißen	
den Ast absägen, auf dem man sitzt	
den Boden bereiten	
den Buckel hinhalten	
den grünen Daumen haben	
den Herrgott einen guten Mann sein lassen	
den Hof machen	
den Kopf hinhalten	
den Schwarzen Peter zuschieben	
den Stecker ziehen	
den Weg ebnen	
den Wölfen zum Fraß vorwerfen	
der Appetit kommt beim Essen	
der Hut brennt	
dicht auf den Fersen	
dickes Fell	
die andere Wange hinhalten	
die Bank sprengen	
die Bienchen und Blümchen	
die Dinge beim Namen nennen	
die Ecke	50
die Gunst der Stunde nutzen	
die Haare vom Kopf fressen	
die Hoffnung stirbt zuletzt	
die Hölle heißmachen	
die Katze beißt sich in den Schwanz	
die Klingen kreuzen	
die Krätze kriegen	
die Krise kriegen	
die Leviten lesen	
die Pfanne heiß haben	
die Ruhe weghaben	
die Stange halten	
die Sterne vom Himmel	
die Stiefel lecken	
die Suppe versalzen	
die Tage	50
die Würfel sind gefallen	
Dorn im Auge	
Drahtzieher	
Dreck am Stecken	
Drogenfalle	
durch den Wind	
durch die Finger schauen	
durch die Lappen gehen	
durch die Weltgeschichte gondeln	
durch die Weltgeschichte reisen	
eher geht ein Kamel durch ein Nadelöhr	
Eiertanz	
ein Ass im Ärmel haben	
ein Esel schimpft den andern Langohr	
ein Gedächtnis wie ein Sieb	
ein Hühnchen rupfen	
ein Indianer kennt keinen Schmerz	
ein Liedchen singen können	
ein Stein fällt auf den Kopf	
Einbruch der Dunkelheit	
Einbruch der Nacht	
eine lange Nase machen	
eine Nase drehen	
eine Nummer schieben	
eine Nummer zu groß	
eine Scheibe abschneiden	
einen an der Waffel haben	
einen Bären aufbinden	
einen Besuch abstatten	
einen guten Draht haben	
einen Korb geben	
einen Riegel vorschieben	
einen Strick drehen	
einen Vogel zeigen	
einer Fliege etwas zuleide tun	
einer Sache Rechnung tragen	
einfach so	50
einfädeln	
einseifen	
eiserner Bestand	
Elfenbeinturm	
Ende der Fahnenstange	
englische Härte	
englische Woche	
Entsafter	all
Ernst	
erst recht	50
es kommt darauf an	
es selber machen	
es von den Lebenden nehmen	
etwas am Hals haben	
etwas aus der Luft greifen	
etwas einreißen lassen	
etwas im Zaum halten	
etwas in den Wind schlagen	
etwas in die Schanze schlagen	
etwas unter den Teppich kehren	
etwas zu Tage fördern	
fehl am Platz	
Fehl und Tadel	
Feld-Wald-und-Wiesen-	
feucht hinter den Ohren	
Feuerprobe	all
fick dich	
Fisch muss schwimmen	all
flach wie Holland	
flöten gehen	
fündig werden	
Fünfjahresplan	
fünftes Rad am Wagen	
für das Protokoll	
fürs Protokoll	
ganz dicht sein	all
ganz schön	
gehüpft wie gesprungen	
gelb vor Neid	
gelinde gesagt	
gemeiner Mitteleuropäer	
gesund und munter	
Gewalt antun	
große Liebe	
grün vor Neid	
grüne Grenze	
gut Ding will Weile haben	
gut Wetter machen	all
guten Glaubens	
guter Hoffnung	
Haar in der Suppe	
haben können	200
halbe Miete	
handeln	50
harte Nuss	
heißes Eisen	
hergehen	
Herz aus Gold	
Herz aus Stein	
hingehen, wo der Pfeffer wächst	
hinters Licht führen	
hinwegfegen	
hochnehmen	50
hochspielen	
hohe Kante	
hohe Stirn	
Höhen und Tiefen	
Holz vor der Hütte	
Honig um den Bart schmieren	
Honig um den Mund schmieren	
Honig ums Maul schmieren	
Hopfen und Malz, Gott erhalt's	
Hundeleben	
Hundertschaft	
i-Tüpfelchen	
im Auftrag	all
im Auge behalten	
im Auge haben	
im Bilde über etwas sein	
im falschen Film	
im Feld bleiben	
im Gebälk knacken	
im Gebälk knirschen	
im Gebälk knistern	
im Gebälk krachen	
im Gebälk rascheln	
im Griff haben	
im Kopf haben	
im selben Atemzug	
im Sturm einnehmen	
im Sturm nehmen	
in acht Tagen	all
in Acht und Bann	
in Betracht kommen	
in den Himmel heben	
in den Tee tun	
in den Wind schlagen	
in den Wind sprechen	
in der Weltgeschichte herumgondeln	
in der Weltgeschichte herumreisen	
in die Ehe bringen	
in die Enge treiben	
in die Hand beißen, die einen füttert	
in die Luft sprengen	
in die Pfanne hauen	
in die Pflicht nehmen	
in die Quere kommen	
in die Wege leiten	
in Eile gefreit, in Muße bereut	
in eine Schublade stecken	
in einen Sack stecken und draufhauen	
in guter Gesellschaft	
in höchstem Maße	
in puncto	
in Ungnade fallen	
in Vertretung	
in Zukunft	
ins Bild setzen	
ins Detail gehen	
ins Einzelne gehen	
ins Feld führen	
ins Reine bringen	
ins Reine kommen	
ins Treffen führen	
ins Visier geraten	
ins Visier nehmen	
ins Ziel gehen	
Jacke wie Hose	
jemandem ans Bein pinkeln	
jemandem den Arsch lecken	
jemandem die Stirn bieten	
jemandem etwas zur Last legen	
jemandem in den Arsch kriechen	
jemandem in den Hintern kriechen	
jemandem in Fleisch und Blut übergehen	
jemandem Saures geben	
jemandem stehen die Haare zu Berge	
jemandem zur Seite stehen	
jemanden am Arsch lecken	
jemanden mal können	all
jemandes Speichel lecken	
jetzt schlägt's dreizehn	
Kaiser von China	
kalter Bauer	
Katz-und-Maus-Spiel	
katzenfreundlich	
kein Kommentar	
kein Pardon kennen	
keine halben Sachen machen	
keine zehn Pferde	
Königsweg	
Kopf und Kragen	
Kost und Logis	
kreidebleich	
Kuhdorf	
laufen lassen	
Leber	50
Leiche im Keller	all
leichter gesagt als getan	
lieb und teuer	
Löwenanteil	
Lüdenscheid-Nord	
Luftschloss	
Lügen strafen	
meines Wissens	
Melkkuh	
mit allem Drum und Dran	
mit anderen Worten	
mit angehaltenem Atem	
mit Argusaugen beobachten	
mit dem Kopf durch die Wand	
mit der Zeit gehen	
mit etwas Schritt halten	
mit gewaschenem Hals	
mit jemandem ins Gericht gehen	
mit jemandem Schlitten fahren	
mit leeren Händen	
mit offenen Augen schlafen	
mit Schimpf und Schande	
mit sich bringen	50
mitgehen lassen	
Mittel zum Zweck	
mitzeichnen	200
möglich	
mundtot machen	
Müßiggang ist aller Laster Anfang	
na also	
nach oben buckeln und nach unten treten	
nach seiner Fasson selig werden	
Nadel im Heuhaufen	
näher	50
nasses Element	
Negermusik	
nicht der hellste Stern am Himmel	
nicht einmal mit der Kneifzange anfassen	
nichts mit Hast als Flöhe fangen	
nichts zu suchen haben	
niemand hat die Absicht	
niet- und nagelfest	
noch nicht aller Tage Abend sein	
Not kennt kein Gebot	
ob man will oder nicht	
offenes Ohr	
ohne Trauschein	
Ostfront	all
Ostküste	200
Platz nehmen	50
ranhalten	
rechts ist, wo der Daumen links ist	
Rechtspflege	all
Rede und Antwort stehen	
Rehauge	all
reinen Wein einschenken	
reinsetzen	
reinspucken	
Reiz und Reaktion	
Rettungsring	all
rot-weiß	50
rund um die Uhr	
Sahnehäubchen	all
Salz in die Wunde streuen	
schauen wie der Ochs vorm Berg	
Schenkelklopfer	all
Schenkelpracker	all
schlachtfertig	
Schrei	all
schreiben	all
Schubladendenken	
Schuss vor den Bug	
schwarzweiß	all
Schwarzweißdenken	
Schwarzweißmalerei	
Schweinsauge	
Seele von Mensch	
sein Licht unter den Scheffel stellen	
sein wahres Gesicht zeigen	
seine Wunden lecken	
Selbstmord aus Angst vor dem Tod	
sich aus den Fingern saugen	
sich blicken lassen	
sich den Strick nehmen	
sich die Butter vom Brot nehmen lassen	
sich die Seele aus dem Leib scheißen	
sich die Wunden lecken	
sich ehrlich machen	
sich erkenntlich zeigen	
sich etwas zu eigen machen	
sich geschlagen geben	
sich lieb Kind machen	
sich Mühe geben	
sich nicht vom Fleck rühren	
sich wacker schlagen	
sie alle haben	
silberne Löffel klauen	
Silberstreifen am Horizont	
Sinn und Verstand	
Sitz im Leben	
sitzen bleiben	50
so spielt man mit Studenten	all
so tun, als ob	
spanisch sprechen	200
Spendierhosen	
Spitze des Eisbergs	
Spitzentanz	
starker Tobak	
Steigbügelhalter	
Stinkefinger	
Strippenzieher	
Stuhlgang haben	
Stunde der Wahrheit	
Sturm der Entrüstung	
tagein tagaus	
Tatterich	
Treppchen	
Trittbrettfahrer	
Tropfen, der das Fass zum Überlaufen bringt	
tun, was man nicht lassen kann	
über den Durst trinken	
über den Löffel barbieren	
über die Dörfer	
über die Planke gehen	
über einen Kamm scheren	
über Nacht	50
überwerfen	50
um den Finger wickeln	
um Rat fragen	
unter uns	
unterste Schublade	
verschlagen	
Versuchsballon	
vier Buchstaben	
vom rechten Weg abbringen	
vom Tellerwäscher zum Millionär	
von einem Tag auf den anderen	
von ganzem Herzen	
von gestern	50
von Grund auf	
von Mann zu Mann	
von vorn	50
vor den Kopf stoßen	
vor nichts haltmachen	
Vorschlag zur Güte	
warm essen	all
